sensor_id,site,district,pollutant,model,n_coloc_hours,insample_R2,expected_field_R2,b_intercept,b_pm25_raw,b_pm1_raw,b_pm10_raw,b_o3_ppm,b_met_rh,b_met_temp,input_units,output_units,formula,notes
MOD-00546,Sahuarita High School,Sahuarita,O3,Baseline OLS (per-sensor),3813,0.719,0.5,-0.011475,,,,0.9706,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00547,Sunnyside High School,Sunnyside,O3,Baseline OLS (per-sensor),3964,0.811,0.5,-0.013391,,,,1.0429,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00548,Los Ninos Elementary School,Sunnyside,O3,Baseline OLS (per-sensor),3952,0.755,0.5,-0.0102,,,,0.9756,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00550,Agua Caliente Elementary School,Tanque Verde,O3,Baseline OLS (per-sensor),3762,0.521,0.5,-0.019618,,,,1.1271,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00551,Desert View High School,Sunnyside,O3,Baseline OLS (per-sensor),3980,0.724,0.5,0.002651,,,,0.6486,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00552,Children's Park (Reference),Other,O3,Baseline OLS (per-sensor),14373,0.713,0.5,0.006479,,,,0.7324,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00553,Vesey Elementary School,Tucson,O3,Baseline OLS (per-sensor),8425,0.752,0.5,0.00035,,,,0.8746,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00554,Billy Lane Lauffer Middle School,Sunnyside,O3,Baseline OLS (per-sensor),4139,0.373,0.5,-0.004275,,,,0.9005,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00555,Joel D. Valdez Library,Other,O3,Baseline OLS (per-sensor),3880,0.78,0.5,0.000346,,,,0.6815,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00556,Mission View Elementary School,Tucson,O3,Baseline OLS (per-sensor),5933,0.839,0.5,-0.004783,,,,0.864,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00557,Ajo High School,Ajo,O3,Baseline OLS (per-sensor),7838,0.78,0.5,0.004453,,,,0.773,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00558,Marana High School,Marana,O3,Baseline OLS (per-sensor),3679,0.761,0.5,0.004604,,,,0.7176,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
MOD-00560,Marana Early Learning and Resource Center,Marana,O3,Baseline OLS (per-sensor),3929,0.737,0.5,0.005981,,,,0.619,,,o3_ppm = raw sensor O3 in ppm (raw ppb/1000),ppm,o3_cal = b_intercept + b_o3_ppm*o3_ppm,""
