"sn","timestamp","geo_lat","geo_lon","pm1","pm25","pm10","o3","co","no2","rh","temp"
"MOD-00546","2026-09-19 16:44:28",31.9589108200361,-110.973693990906,1.36,1.56,3.64,7.33,315.99,4.67,25.7,37.4
"MOD-00547","2026-09-19 16:43:11",32.1428049459135,-110.946154485527,2.54,2.68,14.59,33.89,322.99,7.42,28,35.4
"MOD-00548","2026-09-19 16:42:43",32.1527,-110.9083,2.56,2.95,5.86,26.7,411,7.67,27.5,36.3
"MOD-00549","2026-09-19 16:42:41",32.413168,-111.323159,2.13,2.62,5.73,23.16,399.43,5.83,29.6,36.3
"MOD-00550","2026-09-19 16:45:20",32.2812,-110.7482,1.45,1.61,1.66,0.34,236,4.74,24.3,39.5
"MOD-00551","2026-09-19 16:45:45",32.1359,-110.9042,2.46,2.61,3.8,35.83,298.37,4.89,26.2,38.1
"MOD-00553","2026-09-19 16:43:42",32.159413,-111.074911,1.8,1.98,2.87,26.83,179.57,3.18,25.7,36.6
"MOD-00554","2026-09-19 16:44:59",32.1351,-110.878,NA,NA,NA,12.01,290.25,7.71,24.5,38.8
"MOD-00555","2026-09-19 16:43:05",32.2237,-110.9719,3.1,3.23,3.58,35.26,306.36,7.77,24.6,38.3
"MOD-00556","2026-09-19 16:42:31",32.191837,-110.971844,1.86,2.25,22.73,37.95,182.03,3.41,23.9,38.5
"MOD-00557","2026-09-19 16:44:51",32.37352,-112.859152,1.08,1.21,1.42,38.81,209.19,5.97,14.1,38.1
"MOD-00558","2026-09-19 16:42:42",32.36783,-111.22037,3.53,3.9,10.3,32.25,323.88,5.76,32.9,35.8
"MOD-00559","2026-09-19 16:45:29",32.2986,-111.0299,1.93,2.17,7.33,32.33,398.26,7.61,27.8,36.1
"MOD-00560","2026-09-19 16:42:36",32.34487,-111.05585,2.16,2.46,4.06,39.76,383.46,7.24,28.1,36
"MOD-00561","2026-09-19 16:42:51",32.181792,-110.774951,1.42,1.57,2.4,29.68,164.14,3.71,23.4,37.8
"MOD-00562","2026-09-19 16:44:27",32.227005,-110.890214,1.76,2.12,2.39,36.86,192.43,7.67,24,38.7
"MOD-00563","2026-09-19 16:45:52",32.097393,-110.82794,1.05,1.38,1.96,33.46,300.61,6.39,24.5,38.6
"MOD-00565","2026-09-19 16:42:42",32.06679,-110.7032,0.49,0.55,1.59,30.14,298.97,3.89,24.1,36.3
