"sn","last_seen","last_pm25","temp_recent","pm_24h","status"
"MOD-00546",2026-09-26 16:26:45,2026-09-26 16:26:45,34.1,1433,"ok"
"MOD-00547",2026-09-26 16:24:40,2026-09-26 16:24:40,33.3,1431,"ok"
"MOD-00548",2026-09-26 16:28:09,2026-09-26 16:28:09,35,1435,"ok"
"MOD-00549",2026-09-26 16:25:38,2026-09-26 16:25:38,35.9,1431,"ok"
"MOD-00550",2026-09-26 16:26:05,2026-09-26 16:26:05,35.6,1433,"ok"
"MOD-00551",2026-09-26 16:26:00,2026-09-26 16:26:00,35.5,1429,"ok"
"MOD-00552",2026-09-17 04:51:54,NA,NA,NA,"offline"
"MOD-00553",2026-09-26 16:24:54,2026-09-26 16:24:54,32.4,1432,"ok"
"MOD-00554",2026-09-26 16:25:48,NA,35.7,0,"opc_down"
"MOD-00555",2026-09-26 16:27:32,2026-09-26 16:27:32,34.5,1433,"ok"
"MOD-00556",2026-09-26 16:27:20,2026-09-26 16:27:20,35.8,1434,"ok"
"MOD-00557",2026-09-26 16:27:49,2026-09-26 16:27:49,37.7,1434,"ok"
"MOD-00558",2026-09-26 16:27:27,2026-09-26 16:27:27,36,1434,"ok"
"MOD-00559",2026-09-26 16:26:17,2026-09-26 16:26:17,33.8,1433,"ok"
"MOD-00560",2026-09-26 16:27:06,2026-09-26 16:27:06,34.4,1434,"ok"
"MOD-00561",2026-09-26 16:25:42,2026-09-26 16:25:42,37.5,1432,"ok"
"MOD-00562",2026-09-26 16:25:11,2026-09-26 16:25:11,35.4,1432,"ok"
"MOD-00563",2026-09-26 16:28:42,2026-09-26 16:28:42,35,1435,"ok"
"MOD-00565",2026-09-26 16:25:25,2026-09-26 16:25:25,32.3,1432,"ok"
